ID_Pregunta,Pregunta,Respuesta,Palabras_Clave
FAQ-001,"¿Cuál es el precio de las viviendas?","Los precios de nuestras viviendas varían según el modelo y ubicación. Tenemos opciones desde $2,500,000 MXN hasta $4,800,000 MXN. Ofrecemos planes de financiamiento con enganche desde el 10% y mensualidades accesibles. ¿Te gustaría conocer los detalles de algún modelo en particular?","precio,costo,valor,inversión,dinero,cuanto,financiamiento"
FAQ-002,"¿Qué amenidades incluye el proyecto?","Nuestro proyecto cuenta con amenidades de primera clase: alberca semi-olímpica, gimnasio equipado, salón de eventos, área de juegos infantiles, cancha de tenis, jardines, seguridad 24/7, estacionamiento para visitas y área de asadores. Todo diseñado para el disfrute de toda la familia.","amenidades,servicios,instalaciones,alberca,gimnasio,seguridad,juegos,cancha"
FAQ-003,"¿En qué ubicación se encuentra el proyecto?","Estamos ubicados en una zona privilegiada con excelente conectividad. A 10 minutos del centro comercial principal, 15 minutos de escuelas de prestigio, y con acceso directo a vías principales. La zona cuenta con todos los servicios: hospitales, bancos, restaurantes y transporte público.","ubicación,donde,localización,dirección,zona,lugar,acceso,transporte"
FAQ-004,"¿Qué tipos de vivienda ofrecen?","Ofrecemos 4 modelos diferentes: Modelo Jade (2 recámaras, 2 baños, 85m²), Modelo Ópalo (3 recámaras, 2.5 baños, 110m²), Modelo Rubí (3 recámaras, 3 baños, 135m²) y Modelo Diamante (4 recámaras, 3.5 baños, 160m²). Todos con acabados de primera calidad y diseño moderno.","modelos,tipos,vivienda,recámaras,baños,metros,tamaño,diseño,casa"
FAQ-005,"¿Cuáles son las opciones de financiamiento?","Trabajamos con los principales bancos del país para ofrecerte las mejores opciones: INFONAVIT, FOVISSSTE, créditos bancarios tradicionales y esquemas de financiamiento directo. Enganche desde 10%, plazos hasta 30 años y tasas preferenciales. Nuestro equipo te asesora para encontrar la mejor opción.","financiamiento,crédito,banco,infonavit,fovissste,enganche,mensualidades,plazo"
FAQ-006,"¿Cuándo estará listo el proyecto?","La primera etapa estará lista en 18 meses, con entregas programadas por fases. Las viviendas se entregan completamente terminadas con acabados de primera calidad. Manejamos un cronograma de obra transparente que compartimos con nuestros clientes para que estén informados del avance.","entrega,cuando,listo,tiempo,construcción,obra,cronograma,terminado"
FAQ-007,"¿Qué incluyen los acabados?","Nuestros acabados incluyen: pisos de porcelanato en áreas sociales, pisos laminados en recámaras, cocina integral con cubierta de granito, closets de melamina, baños completos con muebles, instalación eléctrica completa, instalación hidráulica, pintura vinílica y puertas de madera sólida.","acabados,incluye,cocina,baños,pisos,instalaciones,pintura,puertas,closets"
FAQ-008,"¿Hay seguridad en el fraccionamiento?","Sí, contamos with seguridad 24/7 los 365 días del año. Tenemos caseta de vigilancia con personal capacitado, circuito cerrado de cámaras, control de acceso vehicular y peatonal, iluminación LED en todas las áreas comunes y sistema de comunicación directa con seguridad pública.","seguridad,vigilancia,caseta,cámaras,acceso,control,iluminación,protección"
FAQ-009,"¿Puedo personalizar mi vivienda?","Ofrecemos opciones de personalización en acabados y distribución interior, siempre respetando la estructura y normativas del proyecto. Puedes elegir colores de pintura, tipo de pisos en ciertas áreas, y algunos cambios menores en distribución. Nuestro equipo de arquitectos te asesora en las opciones disponibles.","personalizar,cambios,modificar,acabados,colores,distribución,opciones"
FAQ-010,"¿Qué documentos necesito para apartar?","Para apartar tu vivienda necesitas: identificación oficial vigente, comprobante de ingresos (últimos 3 meses), comprobante de domicilio reciente, estado de cuenta bancario y firma del contrato de apartado. El proceso es sencillo y nuestro equipo te acompaña en cada paso.","documentos,apartar,identificación,ingresos,comprobantes,contrato,requisitos"
